Section,Part,Type,Arabic,English
Unit 1,Part 1: Nouns (Irab),grammar,مَرْفُوْع,a state of a noun and verb
Unit 1,Introduction: Words,grammar,اِسْم ج أَسْمَاء,noun
Unit 1,Part 1: Nouns (Irab),grammar,مَنْصُوْب,a state of a noun and verb
Unit 1,Introduction: Words,grammar,فِعْل ج أَفْعَال,verb
Unit 1,Part 1: Nouns (Irab),grammar,مَجْرُوْر,a state of a noun
Unit 1,Introduction: Words,grammar,حَرْف ج حُرُوْف,particle
Unit 1,Part 1: Nouns (Irab),grammar,مَجْزُوْم,a state of a verb
Unit 1,Part 1: Nouns,grammar,مَعْرِفَة ج مَعَارِف,definite noun
Unit 1,Part 1: Nouns (Irab),grammar,مَبْنِي,non-declinable
Unit 1,Part 1: Nouns,grammar,نَكِرَة ج نَكِرَات,indefinite noun
Unit 1,Part 1: Nouns (Irab),grammar,مُعْرَب,declinable
Unit 1,Part 1: Nouns,grammar,تَنْوِيْن,double harakah
Unit 1,Part 1: Nouns,grammar,مُذَكَّر,masculine
Unit 1,Part 2: Verbs,grammar,مَاض,past tense
Unit 1,Part 1: Nouns,grammar,مُؤَنَّث,feminine
Unit 1,Part 2: Verbs,grammar,مُضَارِع,present or future
Unit 1,Part 1: Nouns,grammar,التَّاءُ الْمَرْبُوْطَة,round taa
Unit 1,Part 2: Verbs,grammar,أَمْر,imperative
Unit 1,Part 1: Nouns,grammar,التَّاءُ الْمَفْتُوْحَة,open taa
Unit 1,Part 2: Verbs,grammar,مُثْبَت,affirmative
Unit 1,Part 1: Nouns,grammar,مُفْرَد,singular
Unit 1,Part 2: Verbs,grammar,مَنْفِي,negative
Unit 1,Part 2: Verbs,grammar,حَرْف نَفْي,negative particle
Unit 1,Part 1: Nouns,grammar,جَمْع,plural
Unit 1,Part 2: Verbs,grammar,فِعْل مَعْلُوْم,active voice
Unit 1,Part 1: Nouns,grammar,جَمْع سَالِم,regular plural
Unit 1,Part 2: Verbs,grammar,فِعْل مَجْهُوْل,passive voice
Unit 1,Part 1: Nouns,grammar,جَمْع مُكَسَّر,irregular plural
Unit 1,Part 3: Particles,grammar,عَامِل,governing particle
Unit 1,Part 3: Particles,grammar,غَیْرُ عَامِل,non-governing particle
Unit 1,Nouns (أسماء),vocab,سُوْرَة ج سُوَر,chapter
Unit 1,Nouns (أسماء),vocab,أَخ ج إِخْوَان ، إِخْوَة,brother
Unit 1,Nouns (أسماء),vocab,شَاكِر ج وْن,thankful
Unit 1,Nouns (أسماء),vocab,أُخْت ج أَخَوَات,sister
